,period,value
0,1,2800.0
1,2,6000.0
2,3,6800.0
3,4,6800.0
4,5,6400.0
5,6,7000.0
6,7,7000.0
7,8,7000.0
8,9,6800.0
9,10,5700.0
10,11,4500.0
11,12,4200.0
